Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 3200, Los Angeles County, California",320000,Universal City,1400000US06037320000,"(34.137367, -118.352786)",Drinking_Water_Contaminants_2014_1400000US06037320000,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 5516, Los Angeles County, California",551600,Downey,1400000US06037551600,"(33.925708, -118.162308)",Drinking_Water_Contaminants_2014_1400000US06037551600,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 5990, Los Angeles County, California",599000,Avalon,1400000US06037599000,"(33.343563, -118.3300478)",Drinking_Water_Contaminants_2014_1400000US06037599000,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 5991, Los Angeles County, California",599100,Unincorporated Catalina Island,1400000US06037599100,"(33.388813499999998, -118.423552636715)",Drinking_Water_Contaminants_2014_1400000US06037599100,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9010.03, Los Angeles County, California",901003,Lancaster,1400000US06037901003,"(34.69674, -118.227897)",Drinking_Water_Contaminants_2014_1400000US06037901003,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9202, Los Angeles County, California",920200,Castaic Canyons,1400000US06037920200,"(34.4679205, -118.594791)",Drinking_Water_Contaminants_2014_1400000US06037920200,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.01, Los Angeles County, California",980001,Burbank,1400000US06037980001,"(34.199424, -118.3594925)",Drinking_Water_Contaminants_2014_1400000US06037980001,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.02, Los Angeles County, California",980002,Carson,1400000US06037980002,"(33.809244, -118.241188)",Drinking_Water_Contaminants_2014_1400000US06037980002,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.05, Los Angeles County, California",980005,Torrance,1400000US06037980005,"(33.852811, -118.3306995)",Drinking_Water_Contaminants_2014_1400000US06037980005,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.06, Los Angeles County, California",980006,Long Beach,1400000US06037980006,"(33.808542, -118.087881)",Drinking_Water_Contaminants_2014_1400000US06037980006,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.07, Los Angeles County, California",980007,Long Beach,1400000US06037980007,"(33.7633785, -118.1035825)",Drinking_Water_Contaminants_2014_1400000US06037980007,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.20, Los Angeles County, California",980020,Shadow Hills,1400000US06037980020,"(34.2242935, -118.305462)",Drinking_Water_Contaminants_2014_1400000US06037980020,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.25, Los Angeles County, California",980025,Carson,1400000US06037980025,"(33.841065, -118.2386745)",Drinking_Water_Contaminants_2014_1400000US06037980025,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2014,,"Census Tract 9800.30, Los Angeles County, California",980030,El Segundo,1400000US06037980030,"(33.9090245, -118.412818)",Drinking_Water_Contaminants_2014_1400000US06037980030,1/1/14
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,"(34.2595555, -118.293602)",Drinking_Water_Contaminants_2017_1400000US06037101110,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,616.6982716,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,1400000US06037101122,"(34.267357, -118.29024)",Drinking_Water_Contaminants_2017_1400000US06037101122,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,1400000US06037101210,"(34.251998, -118.2926875)",Drinking_Water_Contaminants_2017_1400000US06037101210,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,1400000US06037101220,"(34.2511895, -118.281014)",Drinking_Water_Contaminants_2017_1400000US06037101220,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,849.0993444,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,1400000US06037101300,"(34.2455945, -118.271731)",Drinking_Water_Contaminants_2017_1400000US06037101300,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,626.4089039,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,1400000US06037101400,"(34.244255, -118.296428)",Drinking_Water_Contaminants_2017_1400000US06037101400,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,619.1943195,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,1400000US06037102103,"(34.224155, -118.354339)",Drinking_Water_Contaminants_2017_1400000US06037102103,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,697.7331337,"Census Tract 1021.04, Los Angeles County, California",102104,Shadow Hills,1400000US06037102104,"(34.216189, -118.3456235)",Drinking_Water_Contaminants_2017_1400000US06037102104,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,688.3566871,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,1400000US06037102105,"(34.210852, -118.3480495)",Drinking_Water_Contaminants_2017_1400000US06037102105,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,658.0882108,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,1400000US06037102107,"(34.2412955, -118.3292705)",Drinking_Water_Contaminants_2017_1400000US06037102107,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,614.6316651,"Census Tract 1031.01, Los Angeles County, California",103101,Sunland,1400000US06037103101,"(34.274431, -118.30714)",Drinking_Water_Contaminants_2017_1400000US06037103101,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1031.02, Los Angeles County, California",103102,Sunland,1400000US06037103102,"(34.262834, -118.30683)",Drinking_Water_Contaminants_2017_1400000US06037103102,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,586.4947611,"Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,1400000US06037103200,"(34.2745565, -118.3439025)",Drinking_Water_Contaminants_2017_1400000US06037103200,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,1400000US06037103300,"(34.255439, -118.3527775)",Drinking_Water_Contaminants_2017_1400000US06037103300,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.1133858,"Census Tract 1034, Los Angeles County, California",103400,Sunland,1400000US06037103400,"(34.253933, -118.3147245)",Drinking_Water_Contaminants_2017_1400000US06037103400,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,615.1418214,"Census Tract 1041.03, Los Angeles County, California",104103,Lake View Terrace,1400000US06037104103,"(34.2819045, -118.3918905)",Drinking_Water_Contaminants_2017_1400000US06037104103,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1041.05, Los Angeles County, California",104105,Pacoima,1400000US06037104105,"(34.276146, -118.404645)",Drinking_Water_Contaminants_2017_1400000US06037104105,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1041.08, Los Angeles County, California",104108,Pacoima,1400000US06037104108,"(34.271671, -118.397614)",Drinking_Water_Contaminants_2017_1400000US06037104108,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,680.3195836,"Census Tract 1041.24, Los Angeles County, California",104124,Lopez/Kagel Canyons,1400000US06037104124,"(34.287866, -118.376208)",Drinking_Water_Contaminants_2017_1400000US06037104124,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,671.4134659,"Census Tract 1042.01, Los Angeles County, California",104201,Pacoima,1400000US06037104201,"(34.2867415, -118.4160805)",Drinking_Water_Contaminants_2017_1400000US06037104201,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1042.03, Los Angeles County, California",104203,Pacoima,1400000US06037104203,"(34.279058, -118.411554)",Drinking_Water_Contaminants_2017_1400000US06037104203,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,665.9418076,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,1400000US06037104204,"(34.2886315, -118.396898)",Drinking_Water_Contaminants_2017_1400000US06037104204,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,672.5971678,"Census Tract 1043.10, Los Angeles County, California",104310,Pacoima,1400000US06037104310,"(34.2762555, -118.4293915)",Drinking_Water_Contaminants_2017_1400000US06037104310,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1043.20, Los Angeles County, California",104320,Pacoima,1400000US06037104320,"(34.27316, -118.4202235)",Drinking_Water_Contaminants_2017_1400000US06037104320,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1044.01, Los Angeles County, California",104401,Pacoima,1400000US06037104401,"(34.2670615, -118.433071)",Drinking_Water_Contaminants_2017_1400000US06037104401,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1044.03, Los Angeles County, California",104403,Pacoima,1400000US06037104403,"(34.2589085, -118.4345385)",Drinking_Water_Contaminants_2017_1400000US06037104403,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1044.04, Los Angeles County, California",104404,Pacoima,1400000US06037104404,"(34.2639205, -118.4286915)",Drinking_Water_Contaminants_2017_1400000US06037104404,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1045, Los Angeles County, California",104500,Pacoima,1400000US06037104500,"(34.25551, -118.4257485)",Drinking_Water_Contaminants_2017_1400000US06037104500,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1046.10, Los Angeles County, California",104610,Pacoima,1400000US06037104610,"(34.2604335, -118.4189955)",Drinking_Water_Contaminants_2017_1400000US06037104610,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1046.20, Los Angeles County, California",104620,Pacoima,1400000US06037104620,"(34.2579045, -118.422465)",Drinking_Water_Contaminants_2017_1400000US06037104620,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1047.01, Los Angeles County, California",104701,Pacoima,1400000US06037104701,"(34.268476, -118.4152165)",Drinking_Water_Contaminants_2017_1400000US06037104701,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1047.03, Los Angeles County, California",104703,Pacoima,1400000US06037104703,"(34.2551165, -118.399872)",Drinking_Water_Contaminants_2017_1400000US06037104703,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1047.04, Los Angeles County, California",104704,Pacoima,1400000US06037104704,"(34.2625155, -118.4088415)",Drinking_Water_Contaminants_2017_1400000US06037104704,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1048.10, Los Angeles County, California",104810,Pacoima,1400000US06037104810,"(34.2502955, -118.411179)",Drinking_Water_Contaminants_2017_1400000US06037104810,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1048.21, Los Angeles County, California",104821,Pacoima,1400000US06037104821,"(34.2465705, -118.416294)",Drinking_Water_Contaminants_2017_1400000US06037104821,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1048.22, Los Angeles County, California",104822,Pacoima,1400000US06037104822,"(34.245882, -118.4209225)",Drinking_Water_Contaminants_2017_1400000US06037104822,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1060.10, Los Angeles County, California",106010,Sylmar,1400000US06037106010,"(34.3231715, -118.444538)",Drinking_Water_Contaminants_2017_1400000US06037106010,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,614.894242,"Census Tract 1060.20, Los Angeles County, California",106020,Sylmar,1400000US06037106020,"(34.320427, -118.428524)",Drinking_Water_Contaminants_2017_1400000US06037106020,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,658.2279576,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,1400000US06037106111,"(34.3231945, -118.4087995)",Drinking_Water_Contaminants_2017_1400000US06037106111,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,683.2692805,"Census Tract 1061.12, Los Angeles County, California",106112,Sylmar,1400000US06037106112,"(34.305005, -118.414298)",Drinking_Water_Contaminants_2017_1400000US06037106112,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1061.13, Los Angeles County, California",106113,Sylmar,1400000US06037106113,"(34.3062, -118.42203)",Drinking_Water_Contaminants_2017_1400000US06037106113,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,672.8236195,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,1400000US06037106114,"(34.302675, -118.426951)",Drinking_Water_Contaminants_2017_1400000US06037106114,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,672.408131,"Census Tract 1064.03, Los Angeles County, California",106403,Sylmar,1400000US06037106403,"(34.306005, -118.441288)",Drinking_Water_Contaminants_2017_1400000US06037106403,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1064.05, Los Angeles County, California",106405,Sylmar,1400000US06037106405,"(34.3146865, -118.448309)",Drinking_Water_Contaminants_2017_1400000US06037106405,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,586.3246417,"Census Tract 1064.06, Los Angeles County, California",106406,Sylmar,1400000US06037106406,"(34.321542, -118.4587415)",Drinking_Water_Contaminants_2017_1400000US06037106406,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1064.07, Los Angeles County, California",106407,Sylmar,1400000US06037106407,"(34.3105765, -118.4365505)",Drinking_Water_Contaminants_2017_1400000US06037106407,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1064.08, Los Angeles County, California",106408,Sylmar,1400000US06037106408,"(34.3132585, -118.440082)",Drinking_Water_Contaminants_2017_1400000US06037106408,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,620.2244803,"Census Tract 1065.10, Los Angeles County, California",106510,Sylmar,1400000US06037106510,"(34.3236325, -118.4860245)",Drinking_Water_Contaminants_2017_1400000US06037106510,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1065.20, Los Angeles County, California",106520,Sylmar,1400000US06037106520,"(34.308856, -118.4613605)",Drinking_Water_Contaminants_2017_1400000US06037106520,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,826.5377729,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,1400000US06037106603,"(34.3189225, -118.5218285)",Drinking_Water_Contaminants_2017_1400000US06037106603,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,616.7384616,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,1400000US06037106604,"(34.3042795, -118.474247)",Drinking_Water_Contaminants_2017_1400000US06037106604,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,"(34.298025, -118.509153)",Drinking_Water_Contaminants_2017_1400000US06037106641,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1066.42, Los Angeles County, California",106642,Granada Hills,1400000US06037106642,"(34.2863475, -118.5084525)",Drinking_Water_Contaminants_2017_1400000US06037106642,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1066.43, Los Angeles County, California",106643,Granada Hills,1400000US06037106643,"(34.289784, -118.524711)",Drinking_Water_Contaminants_2017_1400000US06037106643,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,616.3098189,"Census Tract 1066.45, Los Angeles County, California",106645,Granada Hills,1400000US06037106645,"(34.2905125, -118.4928915)",Drinking_Water_Contaminants_2017_1400000US06037106645,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,1400000US06037106646,"(34.2790905, -118.4941245)",Drinking_Water_Contaminants_2017_1400000US06037106646,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,670.7729756,"Census Tract 1066.48, Los Angeles County, California",106648,Sylmar,1400000US06037106648,"(34.293406, -118.4556035)",Drinking_Water_Contaminants_2017_1400000US06037106648,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,672.0441131,"Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,1400000US06037106649,"(34.288747, -118.4611105)",Drinking_Water_Contaminants_2017_1400000US06037106649,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,670.4421214,"Census Tract 1070.10, Los Angeles County, California",107010,Sylmar,1400000US06037107010,"(34.302027, -118.446501)",Drinking_Water_Contaminants_2017_1400000US06037107010,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,672.8503405,"Census Tract 1070.20, Los Angeles County, California",107020,Sylmar,1400000US06037107020,"(34.2975345, -118.4503905)",Drinking_Water_Contaminants_2017_1400000US06037107020,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,"(34.280038, -118.5413715)",Drinking_Water_Contaminants_2017_1400000US06037108101,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,1400000US06037108102,"(34.280795, -118.55492)",Drinking_Water_Contaminants_2017_1400000US06037108102,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1081.03, Los Angeles County, California",108103,Porter Ranch,1400000US06037108103,"(34.2860705, -118.542893)",Drinking_Water_Contaminants_2017_1400000US06037108103,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,586.6595249,"Census Tract 1081.04, Los Angeles County, California",108104,Porter Ranch,1400000US06037108104,"(34.2939525, -118.5470515)",Drinking_Water_Contaminants_2017_1400000US06037108104,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1082.01, Los Angeles County, California",108201,Porter Ranch,1400000US06037108201,"(34.2857885, -118.562083)",Drinking_Water_Contaminants_2017_1400000US06037108201,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,586.1343948,"Census Tract 1082.02, Los Angeles County, California",108202,Chatsworth,1400000US06037108202,"(34.288396, -118.581814)",Drinking_Water_Contaminants_2017_1400000US06037108202,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1091, Los Angeles County, California",109100,Mission Hills,1400000US06037109100,"(34.278731, -118.4610295)",Drinking_Water_Contaminants_2017_1400000US06037109100,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,619.5220007,"Census Tract 1092, Los Angeles County, California",109200,Granada Hills,1400000US06037109200,"(34.2786785, -118.474608)",Drinking_Water_Contaminants_2017_1400000US06037109200,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1093, Los Angeles County, California",109300,Granada Hills,1400000US06037109300,"(34.272521, -118.479515)",Drinking_Water_Contaminants_2017_1400000US06037109300,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,1400000US06037109400,"(34.269881, -118.4552825)",Drinking_Water_Contaminants_2017_1400000US06037109400,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,671.9566298,"Census Tract 1095, Los Angeles County, California",109500,San Fernando,1400000US06037109500,"(34.274036, -118.4444575)",Drinking_Water_Contaminants_2017_1400000US06037109500,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1096.01, Los Angeles County, California",109601,Mission Hills,1400000US06037109601,"(34.2582765, -118.450367)",Drinking_Water_Contaminants_2017_1400000US06037109601,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1096.03, Los Angeles County, California",109603,Mission Hills,1400000US06037109603,"(34.2536515, -118.465415)",Drinking_Water_Contaminants_2017_1400000US06037109603,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1096.04, Los Angeles County, California",109604,Mission Hills,1400000US06037109604,"(34.2615535, -118.465347)",Drinking_Water_Contaminants_2017_1400000US06037109604,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1097, Los Angeles County, California",109700,Granada Hills,1400000US06037109700,"(34.263394, -118.4810215)",Drinking_Water_Contaminants_2017_1400000US06037109700,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1098, Los Angeles County, California",109800,North Hills,1400000US06037109800,"(34.2537535, -118.481817)",Drinking_Water_Contaminants_2017_1400000US06037109800,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1111, Los Angeles County, California",111100,Granada Hills,1400000US06037111100,"(34.2683575, -118.4946735)",Drinking_Water_Contaminants_2017_1400000US06037111100,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1112.01, Los Angeles County, California",111201,Granada Hills,1400000US06037111201,"(34.275029, -118.50855)",Drinking_Water_Contaminants_2017_1400000US06037111201,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1112.02, Los Angeles County, California",111202,Granada Hills,1400000US06037111202,"(34.2683485, -118.5151565)",Drinking_Water_Contaminants_2017_1400000US06037111202,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1112.04, Los Angeles County, California",111204,Porter Ranch,1400000US06037111204,"(34.2620495, -118.5490485)",Drinking_Water_Contaminants_2017_1400000US06037111204,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1112.05, Los Angeles County, California",111205,Northridge,1400000US06037111205,"(34.253636, -118.5358265)",Drinking_Water_Contaminants_2017_1400000US06037111205,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1112.06, Los Angeles County, California",111206,Porter Ranch,1400000US06037111206,"(34.2676425, -118.5361955)",Drinking_Water_Contaminants_2017_1400000US06037111206,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1113.01, Los Angeles County, California",111301,Granada Hills,1400000US06037111301,"(34.2610855, -118.5158815)",Drinking_Water_Contaminants_2017_1400000US06037111301,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1113.02, Los Angeles County, California",111302,Northridge,1400000US06037111302,"(34.2539425, -118.512829)",Drinking_Water_Contaminants_2017_1400000US06037111302,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,1400000US06037111400,"(34.257483, -118.495412)",Drinking_Water_Contaminants_2017_1400000US06037111400,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1131.01, Los Angeles County, California",113101,Chatsworth,1400000US06037113101,"(34.265338, -118.5882575)",Drinking_Water_Contaminants_2017_1400000US06037113101,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1131.02, Los Angeles County, California",113102,Chatsworth,1400000US06037113102,"(34.265325, -118.568068)",Drinking_Water_Contaminants_2017_1400000US06037113102,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1132.11, Los Angeles County, California",113211,Chatsworth,1400000US06037113211,"(34.2635755, -118.611966)",Drinking_Water_Contaminants_2017_1400000US06037113211,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1132.12, Los Angeles County, California",113212,Chatsworth,1400000US06037113212,"(34.2608605, -118.6035245)",Drinking_Water_Contaminants_2017_1400000US06037113212,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1132.13, Los Angeles County, California",113213,Chatsworth,1400000US06037113213,"(34.2535965, -118.608218)",Drinking_Water_Contaminants_2017_1400000US06037113213,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,610.6749089,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,1400000US06037113231,"(34.2282065, -118.645614)",Drinking_Water_Contaminants_2017_1400000US06037113231,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,616.5575117,"Census Tract 1132.32, Los Angeles County, California",113232,West Hills,1400000US06037113232,"(34.227417, -118.61402)",Drinking_Water_Contaminants_2017_1400000US06037113232,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1132.33, Los Angeles County, California",113233,Canoga Park,1400000US06037113233,"(34.2275575, -118.6017175)",Drinking_Water_Contaminants_2017_1400000US06037113233,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1132.34, Los Angeles County, California",113234,Canoga Park,1400000US06037113234,"(34.227624, -118.59227)",Drinking_Water_Contaminants_2017_1400000US06037113234,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,431.503476,"Census Tract 1132.35, Los Angeles County, California",113235,Chatsworth,1400000US06037113235,"(34.2373915, -118.6488335)",Drinking_Water_Contaminants_2017_1400000US06037113235,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,616.952514,"Census Tract 1132.37, Los Angeles County, California",113237,Chatsworth,1400000US06037113237,"(34.2451855, -118.6125745)",Drinking_Water_Contaminants_2017_1400000US06037113237,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1133.01, Los Angeles County, California",113301,Northridge,1400000US06037113301,"(34.2448005, -118.5590895)",Drinking_Water_Contaminants_2017_1400000US06037113301,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1133.03, Los Angeles County, California",113303,Chatsworth,1400000US06037113303,"(34.2420235, -118.5801645)",Drinking_Water_Contaminants_2017_1400000US06037113303,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1133.21, Los Angeles County, California",113321,Chatsworth,1400000US06037113321,"(34.25361, -118.5913535)",Drinking_Water_Contaminants_2017_1400000US06037113321,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1133.22, Los Angeles County, California",113322,Chatsworth,1400000US06037113322,"(34.253622, -118.571362)",Drinking_Water_Contaminants_2017_1400000US06037113322,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1134.01, Los Angeles County, California",113401,Winnetka,1400000US06037113401,"(34.2279845, -118.562301)",Drinking_Water_Contaminants_2017_1400000US06037113401,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1134.21, Los Angeles County, California",113421,Winnetka,1400000US06037113421,"(34.234694, -118.5826685)",Drinking_Water_Contaminants_2017_1400000US06037113421,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1134.22, Los Angeles County, California",113422,Winnetka,1400000US06037113422,"(34.224085, -118.5821745)",Drinking_Water_Contaminants_2017_1400000US06037113422,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,618.0514468,"Census Tract 1151.01, Los Angeles County, California",115101,Northridge,1400000US06037115101,"(34.239435, -118.5112365)",Drinking_Water_Contaminants_2017_1400000US06037115101,1/1/17
