Timestamp,NO3,Level,Dayofweek,Month
2019-03-27T16:00:00,0.015,3.502,2,3
2019-03-27T17:00:00,,3.4960000000000004,2,3
2019-03-27T18:00:00,,3.495,2,3
2019-03-27T19:00:00,,3.4960000000000004,2,3
2019-03-27T20:00:00,0.016,3.489,2,3
2019-03-27T21:00:00,0.017,3.486,2,3
2019-03-27T22:00:00,0.01633333333333334,3.486,2,3
2019-03-27T23:00:00,0.01633333333333334,3.487,2,3
2019-03-28T00:00:00,0.017,3.4960000000000004,3,3
2019-03-28T01:00:00,,3.499,3,3
2019-03-28T02:00:00,,3.508,3,3
2019-03-28T03:00:00,0.021,3.509,3,3
2019-03-28T04:00:00,,3.499,3,3
2019-03-28T05:00:00,,3.4960000000000004,3,3
2019-03-28T06:00:00,,3.486,3,3
2019-03-28T07:00:00,0.02,3.474,3,3
2019-03-28T08:00:00,,3.463,3,3
2019-03-28T09:00:00,,3.445,3,3
2019-03-28T10:00:00,0.018000000000000002,3.427,3,3
2019-03-28T11:00:00,,3.411,3,3
2019-03-28T12:00:00,,3.391,3,3
2019-03-28T13:00:00,0.016,3.378,3,3
2019-03-28T14:00:00,0.015,3.359,3,3
2019-03-28T15:00:00,0.014666666666666666,3.345,3,3
2019-03-28T16:00:00,0.013333333333333334,3.326,3,3
2019-03-28T17:00:00,,3.314,3,3
2019-03-28T18:00:00,,3.305,3,3
2019-03-28T19:00:00,,3.292,3,3
2019-03-28T20:00:00,,3.325,3,3
2019-03-28T21:00:00,0.021,3.383,3,3
2019-03-28T22:00:00,0.021,3.4725,3,3
2019-03-28T23:00:00,,3.56975,3,3
2019-03-29T00:00:00,,3.6915714285714287,4,3
2019-03-29T01:00:00,,3.78475,4,3
2019-03-29T02:00:00,,3.87625,4,3
2019-03-29T03:00:00,,3.9500000000000006,4,3
2019-03-29T04:00:00,,4.025,4,3
2019-03-29T05:00:00,,4.089,4,3
2019-03-29T06:00:00,,4.149666666666668,4,3
2019-03-29T07:00:00,,4.202333333333333,4,3
2019-03-29T08:00:00,,4.245,4,3
2019-03-29T09:00:00,,4.2945,4,3
2019-03-29T10:00:00,,4.3315,4,3
2019-03-29T11:00:00,,4.352,4,3
2019-03-29T12:00:00,,4.3765,4,3
2019-03-29T13:00:00,0.037000000000000005,4.371,4,3
